[url][key][hash],source,Translation
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B0B0C54D4FFEC521B07701A4885910D8][1040264937],You should go tell Cassandra yourself. She will be pleased to know there’s still people with their mind in the right place.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B2A258A64BC0F48D91DC90B276CC94F6][1386815367],"Thank you, but I’m not interested.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B2E2DB8F47A77DDA59E0C8B5B303874F][997258339],What a weird location. I’ll mark it for you on the map.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B46B2850408D55999246C4B2C8AD117D][1582772085],The Halmayans know what’s best…,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B5DBA1864FEE6DC0952ADB86A73813BE][1249148370],"Yes, it was yours to decide! That’s why you were the one handling it. What a disgrace.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B6A491AD4840BE7850F5E0AF7DFAB790][3035392507],Perhaps. But necessity has a way of turning into habit. You’ve proven yourself capable and dangerous.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B6A7FA7F41E00C38BF90DBAC6FB002F2][1351473024],Can you get moving? I’m impatiently waiting for my new future.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][B72CCB844A5DA5E62138CE91C03BC599][2854829489],I know I can succeed. I know. I just… Need to know more. What do you say?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][BA301BEE4C3B86F77D0AB782809AC289][2286250915],Did you make the right decision?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][BAD2AE3E436E02B34020B5A02D0662AD][2554893126],"Keeping your cards close to your chest, I can understand that. Just don’t forget to make the right choice.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][BB3407044151950410AAD6966B04EA42][737248188],What are you talking about?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][BDC888284B5FD1E1324FE9AFFADA1603][310846630],I don’t have more questions.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][C07B06BC4BF12322D036A1BB0A4473F6][410467505],You found a bottle that the elder was investigating and brought it to Viktor.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][C4612E254578B8BC952DD08975E40D03][1124690818],"But maybe we strike a deal. You say I vanished. I vanish. Simple. You’ll simply say that when you got here, you couldn’t find me. How does that sound to you?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][C4FEFE984A728B31495244A4D86D631A][2817122408],Okay. I’m grateful you heard my plea.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][C540280347B6F0FEC4DAFC86525CEA6D][1685497009],"Take your reward, but know this: the eyes of Halmare will be upon you now. Don’t make me regret sparing your life today.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][C6C17FB944C4E0A94549658CEED5ADAF][3855304392],"Remember, go to Nauroh Village, the shipment should have arrived by the time you get there. But don’t take too long!",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][CA2FAC0348A8467AB9D3578142FA26C6][373040224],I will make sure Lyra knows what you’ve done.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][CC67A8CA476A3ADCBAC5A5AB113509E0][1238212082],Show up and we’ll have work for you.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][CE77EDE94A2CC43D8AF74382BBFFF3A8][3728917048],"The people that will keep dying because of him, their blood will be on your hands.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][CF6BC60E4BF5AB381FE464B133A1878F][2392147645],Um. Don’t remember it.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D1D32DD24AE2A91403E8CD8AE91F0699][3561571377],"Alright, I’ll tell to work for you.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D1D9633F48982374B327A9860429D27B][2691411282],But… Baltasar’s death cannot be ignored either. That filth would have poisoned Halmare beyond salvation if left alive.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D37986094730D8C08A5FDB85E3E77E44][904381681],"Here’s your reward. Now, if you don’t mind, go ahead and I’ll go by my own foot.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D46454314C39218CACF35AB0DF86E968][2529748729],We have different definitions of smooth.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D5E3011D439F382265B492880B6229CD][1867651700],"You knew the risks, so why keep pushing Blue Sky?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D67B4EFF482884F0F6B423AE2C96A65C][1812277629],"So, my proposition for you is: You walk away from these fools, help us do real work, and we help you, and this island, be something greater.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D68ADB4B4D2B4D03ACFE09B71C8C351F][156749069],What?! How dare you make such a decision! Didn’t you see the poison he has been filling the streets of Halmare.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D863B4C940EC32D7FDC42A9FA8FC0768][1701357460],I let him go.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D8A7042F41314A4E7F8F7EA046ECB1DC][348156596],"You’ve made the right decision. I know it’s against Darek’s order, but this will prove more fruitful for the future of Halmare.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][D8C2D306415FD7CAFE0F0785885634B5][1783681171],You’ve made a mess of alliances I’ll be cleaning up for weeks.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][DA0AFB8C4DA8FCDA2F6C3F84C79B51BC][2172052688],We can go now.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][DA60DFD34969011DD8A5B3A5A997BE02][4218463919],You don’t belong here!,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][DD858278446430F71009DABE4503CA72][1285788118],The alchemist? What are you talking about?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][DDEE9B134343C54D8272B1A348087B46][624398134],Do tell. Enlighten me.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][E21819FB40C2AB5F0E56F2B5CC9569CF][189156555],"Before I answer your questions, you answer mine.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][E7443371438D4A75992D48A11134EB33][3154709601],"Here’s your reward. Now, I’ll take Baltasar to the prison, to make sure they don’t simply chop up his head.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][E968390B4A6DA3A0B67E1DAA33D08FB6][4116042965],I already know what to do with you.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][ED28B09748FC52AC19D9C9A71A5BD602][1987841200],Is it necessary?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][ED3CF1454D96449192488FA8562C5982][711702296],I killed him.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][EE4681554AFC47AD9F05BCA83DE9571D][3937279232],I’m in a hurry.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F19A8C9C487D2059EB11ABA39BA3F4BC][2399701606],How could you! I could have done so much! I could have found a way to save this island! This genius lost.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F47F701A42D23629F774F6AC487AB37D][1809853197],"You’ve done right by ending the alchemist, but Viktor’s death will not be forgotten. Not by me. Not by Lyra.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F57C20D8424EEDC9B5B1BBB3A80356B1][4248466004],"He agreed to work for you. And here he is, unscathed.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F57DBE344C49195528ACFE90F92ED26C][3437361989],"He tried to stop me. I had no choice. He’s dead. Baltasar too, it’s done.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F63524BB42BD1F3A343E8C9B3D6D14DE][860577648],"Oh, how quaint. The invader wants a lecture. Fine. One question at a time. Don’t strain yourself.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F6F7B2DF45CCDC7B49089DA0AD125406][1361792023],Darek will not take this lightly.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F7452B244DF038EC57368C888F2B6388][1294127428],"Oh, are you now?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F833097B447B4D478A0AC7B70FAC6B1D][842051264],Fine. I’ll go ahead. You stay here.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][F85649E64645E0B34FC2B5A3B98E0290][3246180364],"Didn’t row the barrels myself, genius. Traders. Smugglers. Some of them work for Darek, by the way. Or Cassians. Everyone takes a cut.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][FCE8DEBC40CDFAF9E0E2BC9BF5B2811F][779205255],I still need more time.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][FD66A77942D300531E59738E447B960F][3347617609],They’re waiting for you outside. I’m escorting you out.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][FDC95F994A263F56BA3594ABA5CA0A66][197735228],Not really. It was a trap.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/ChasingTheSky/ChasingTheSkyQuest_Talk.uasset][FE4DE2D945892A46EE609DBB3C68E87C][2601885223],But for that I need the alchemist alive. The dead don’t talk you see.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][024B72894A09EACAF8A9DF95E8F6754E][956280052],"And Cassandra’s men are a surprisingly welcoming bunch. During my short stay here, I know the name and the taste of at least half the rums that exist.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][13B1C5AC4E1B47EC8226BEB1F90AF536][2399994432],"My troops will be the spear-tip, and you need to go to the upper city and kill Kug.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][1DFF60AA429AE2A30ADD07ADA836C6E3][2852374791],My friend! I was finishing discussing our next steps with Cassandra.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][27514BC7458FFCA39296A789898BF576][896312163],Do you think he could betray us?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][279614A04A8DE2F12D0B03A8C31FE0B6][3419155554],"Well, hello my sweetie. I was just thinking of you because I just finished planning the attack on the Cragkeep with our dear new guest.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][2BE5C2084816CF52999CA593A81569C1][2601527770],"At first, I was afraid of them, the raiders from across the sea, but now I know they are the solid block that Halmare can build its future from.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][310535784E0A067198E8B59A97C57676][1451394844],Halmayans? And probably gonna be slaughtered because they lack manpower to face the Falsgar?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][3B8D65B24CDED9148FC4BDAF4189352A][701310785],How do you like the place?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][50B8F7B44FE9398D71FFF4AD9EB97D2A][3127053701],I have other questions.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][62FDA8B0420CB2F4BEF6228EC1760D9A][1840122993],"Now prepare yourself, gather your companions, and talk to me at some time when you are ready. Because again we're gonna work close together.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][6783E14B49CB3A2EFA6A17841067EBD0][2218026797],What do you think about Cassandra and the Cassians?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][67FDE0644481E4CCDC5961987395B957][1586641448],"Additionally, Kug’s men had given me quite a beating in prison.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][6D89272C4579505EE11C21B51FEB9873][3530360695],"Sorry, no chance.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][7AE7AEE745FD7B963BDF8EBC8257EB38][1991760997],"Ask then, sweetie.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][7E6C5331474369541BB54C9930E608AD][40457007],But his knowledge of kingdom politics and the castle is necessary.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][87C8ABB54E603C6F99AC49B159CEC523][1773952955],"Clever one, smooth talker, and I’m sure that he has his own agenda in this. I doubt he got himself imprisoned out of pure patriotism.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][8DF86BF045EB07258E24749B7CC19EA7][4041848680],"Continue with the plan, please.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][9722FCA54A16DFB486328B924D4FD53D][1350034324],"Hello, sweetie, can we discuss the attack on Kug already? Or do you want to wait until he gets the reinforcements from the queen and overwhelms us?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][9D866E7E475F0DA8096A52A2540FAD9F][3953248411],No.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][A16986BA492984D4913EA698C53221FB][1592777728],"And Cassandra is a strong leader that they need, that we need to lead the forces against Falsgar and Kug.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][A3586BBE4FABCCE8BE5B4C9646AD3927][1649782299],"We will split the attack into two parts: first, we need to cut off the Falsgar reinforcements, and then we will storm the Redhold.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][A72F7FBD4195E6E97C2586BF6F79ECD2][4211259196],"You had a discussion, and you just told me the plan without the room to talk about it.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][B17D78B54CD4DC8AFFF213B50DED3482][1324784468],What do you think about the Mayor?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][B297756F476AB00005A6238A36848EC6][1780431945],"What a lovely lady, you should talk to her, you’re more knowledgeable about military tactics and fighting. I am just trying to survive in politics, direct combat was never my thing.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][B3725BB94D10435876286A9221BBB7FF][2990065879],"So, are you ready to discuss it?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][BE0F5CA445110D5D8C4C0ABA4C8C10CD][1115619773],"After the Redhold is ours, we are gonna press the attack and go straight for the Kug's throat.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][C3DE14E64C85F2D219FE3083CE7A78A6][3388579225],"From there, we will go to Cragkeep Bay and take over the port.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][CC72D3BC49DBC4EB21B0E69F917F9995][2000273671],I’m glad you’re alright.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][CF48BA19473B1D401D0A6D978FC47D78][1112906191],Let's discuss the plan.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][D20A5881434DE849D9B65EB08891EB64][3368825272],"Oh sweetie, I just wanted you to feel included, and you ruined that, but it was amusing to see you wanting to order MY men.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][DB8668404E1440E39D2F9B831F7A5A1D][2091625099],He would be extremely stupid to do that and I know for  sure he is no fool.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][E2ACCBB54A165BF49D385BA31DA1F83F][3543210843],"I doubt that, because what is he gonna betray us for? Queen? He will be sitting on the Cragkeep throne, anyway.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeansToAnEnd/MeansToAnEndQuestTalk.uasset][F82BFB7E427D94A1A9E04E94539538BB][2044088838],"A little too rough for my liking and I got used to a more comfortable living standard, but it is in bad taste to criticize your host.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][00C55CA2487045541C1B50B7A6780AD8][1484498025],I’m not gonna give my biography to some random monkey who just barged into our cave.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][26330EAF4195DA8D15C33CBDD9D935C8][2704110025],What’s your story?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][2A6152EB44DACA9D00FC5692A4C794EE][149950430],"If you want respect, you need to earn it.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][2D9349D640AFA918137F898A35BC4E58][2432168651],"I have come from Karvenia, they call me Bellwright, you should treat me with some respect.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][3BB15ABD49AD9E927129498825A99E51][1760045771],"My name is Cassandra Kim, leader of Cassians. Remember it, monkey. Because if you have to ask again, I’ll start taking it personally.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][3EED6AFC406ADAA80C4764886DC92433][3359022005],I want to ask about something else.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][41D3C6704E7CF3720BE7F985D3D3F169][2126636255],"Who let you in here, you monkey? What do you want?",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][4601784A45DE7417FF73C3BBA37098D4][3566246468],"For the love of gods, this man needs to stop sendin’ strangers there. I'm tired of throwing the more meddling ones into the sea…",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][5114B17447E024A597B5B9ADE934F02E][965853923],"If not, then I’ll cut your ears off, since you’re clearly not usin’ them.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][54CF44114F2FE3ECAA85648F30AE7889][2664400200],"With the first we fight and with the second we strike a deal, not much to say about more, at least not to you.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][557FFF5D48C0B204576469A35C51E639][1410439164],Obtuse monkey askin’ questions. It’s all I hear ‘round this latrine of an island.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][558DDAE94934EE3F4013408FB94A902E][3146054101],"Now leave me, maybe bother somebody else. I don't care anyway, my patience for babbling strangers has reached its limit.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][8F3C194248223290A00EC8A8D1C5D2FB][72675247],"You are in Halmare, dear, your made up titles are worthless ‘ere.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][978D9EB9473A97759EE204B65A3DCB9E][3637836177],"Maybe if we know each other better, I’m gonna tell you, so better start being useful.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][ACC2A0324BF9FCA6576C7FA87E75516A][2322039523],"I talked with Ravio Sarran, he told me to seek you.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][B9E1734E403057C0DBF960AC147689CA][3245071041],Are you the leader of the Cassians?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][CFC554A444F5851D40F80599DCA3FB8B][3924701769],I’m looking for work. Do you need any help?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][D17F4DBD431024119FBCF1873D8BC018][3479998786],What do you think about Halmayans and Falsgar?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][D63CB07A4D8B94F66D756D96280C4201][2049249530],Bell-what you say? First time hearin’ about it. So what’s your deal? You are some kind of master-ringer there?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][D74E49794A2E5F50B1681391469C83AA][3026743895],My story is none of your business.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][DF44DB184D89E99E195530B8D4D8E7EE][2541636826],"But fine, I’m in a good mood today, you can stay here but if you're gonna cause troubles, I’m gonna take both of your heads.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][E16805DD438322028AC007AA58608823][796873269],"Maybe I do and maybe I don’t, especially from you.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingCassians/MeetingCassiansQuest_Talk.uasset][FB7E361B4A5557914B9CF79D479471B2][1119927600],"They call me The Cutlass, and I’ve spent the last few years ownin’ the seas and pillagin’ the land. If you can manage to stay outta my way, and stop askin’ stupid questions, we might get along fine.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][0B26B390438B0BEC279439878B21890B][2116253161],I want to help. Do you have any work for me?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][0F0B9E4148A695D9FD5C5EACFB87186C][625908432],Same difference.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][120C93544DB9D7CDF12F7D96956DFCD5][1502588567],About your little trouble at the tavern.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][1A8AF974447DCCCB45A823A7142C7F07][2510242353],Spare me the lecture. I already heard it from you.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][1C05D44E49EF23F3FD21FCA27557F76E][948038905],You think we haven’t tried? But we lack the resources to do it successfully and can’t afford to lose any more people.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][1CF42D42416C5A8BF3D351AF3828E647][1117153622],I want to ask other things.,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][215BDB75432E7F97E6EC3980B6F2D67F][72821911],And do you have any work for me?,
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][2383A2094EF14AE1ACC4FBA374C81C83][2774594449],"Listen. If you really want to help us and our plight, you have to prove yourself.",
[Bellwright/Content/Mist/Data/Quests/MainQuest/RaidMap/MeetingTheHalmayans/MeetingTheHalmayansQuest_Talk.uasset][2448628C4BCF2C8CF497309E0E74A1C8][4059101487],"Honestly, don’t care. What do you want? Come here just to parade your shiny title, or want to be useful?",
