When I was younger, I used to count the stars. Now I’m just counting troubles.	Když jsem byl mladší, počítal jsem hvězdy. Teď počítám jen trable.
{QuestGiver} ordered book delivery but the cart with the book never made it to the village. I wonder what happened to it.	{QuestGiver} si objednal doručení knih, ale vůz s knihami do vesnice nikdy nedorazil. Zajímalo by mě, co se s ním stalo.
{QuestGiver} told me about the injured miners and asked me to bring him some bandages due to shortages. I decided to help them.	{QuestGiver} mi řekl o zraněných hornících a požádal mě, abych mu kvůli nedostatku přinesl obvazy. Rozhodl jsem se jim pomoci.
{QuestGiver} was ordered by Ashbourne to craft the chairs for his Solstice feast. But the letter was wrongly sent to his former student Marek. I need to retrieve it along with new tools from Sambor. I don’t wanna know what would happen if he’s not able to make those chairs.	{QuestGiver} dostal od Ashbournea příkaz vyrobit židle na jeho slunovratovou hostinu. Dopis ale omylem poslali jeho bývalému učni Markovi. Musím ho získat spolu s novými nástroji od Sambora. Nechci vědět, co by se stalo, kdyby ty židle nedokázal vyrobit.
{SettlementName} has advanced in prosperity. \r\n{PreviousLevelName} -> {CurrentLevelName}	{SettlementName} pokročila v rozkvětu. \r\n{PreviousLevelName} -> {CurrentLevelName}
“ I can’t believe we ended up like this. I refuse. We almost got into the Gauntlet, all those sacrifices, all those hopes for revenge for our loved ones, our children…\r\n\r\nAnd now here we are, crawling like maggots inside the tower, the same tower we claimed first from this scum Roan, only because we were betrayed. I promise I will get the one who sold us, and he will be hanging from this tower.\r\nBut first we need to hold, hold until Butcher comes with the reinforcements.\r\n\r\nThey are coming closer and closer every night, slowly. We don’t have enough scouts to send for food, and we ran out of rations a long time ago. Butcher, what is taking you so damn long?”	„Nemohu uvěřit, že jsme skončili takhle. Odmítám to. Málem jsme se dostali do Gauntletu, všechny ty oběti, všechny ty naděje na pomstu za naše blízké, naše děti…\r\n\r\nA teď jsme tu, plazíme se jako červi ve věži, té samé věži, kterou jsme jako první vzali té špíně Roanovi, jen proto, že nás zradili. Slibuji, že dostanu toho, kdo nás prodal, a bude viset z této věže.\r\nAle nejdřív musíme vydržet, vydržet, dokud Řezník nepřijde s posilami.\r\n\r\nKaždou noc se pomalu přibližují. Nemáme dost zvědů, které bychom poslali pro jídlo, a příděly nám došly už dávno. Řezníku, co ti tak zatraceně dlouho trvá?“
“ This is gonna be the easiest job of my life. Why is this Elder paying this much gold for a couple of overgrown dogs? Even their hunter is shitting his pants, what was he called? Lubomir? Doesn’t matter, I will show them how we do this in Farnworth.\r\n\r\nI have seen the biggest wolf, this should be their leader. The trail leads to this cave. I’m already counting in my head the coins I’m gonna get for this beast. “	„Tohle bude nejsnadnější práce mého života. Proč ten stařešina platí tolik zlata za pár přerostlých psů? I jejich lovec se strachy potí, jak že se jmenoval? Lubomir? Nezáleží na tom, ukážu jim, jak to děláme ve Farnworthu.\r\n\r\nViděl jsem největšího vlka, to bude jejich vůdce. Stopa vede do této jeskyně. V hlavě už počítám mince, které za tu bestii dostanu.“
“A little birdy told me you figured out what I was doing. That’s a shame, those rawhides do fetch a fine price Osterforde.\r\n\r\nI’m sure we’ll meet again. But next time, I’ll make sure to rob you of everything you’re worth, after what you’ve cost me.\r\n\r\nTill then.”	„Jeden ptáček mi vyštěbetal, že jsi přišel na to, co dělám. Škoda, ty surové kůže v Osterforde vynášejí pěknou cenu.\r\n\r\nJistě se ještě setkáme. Ale příště se postarám, abych tě oloupila o všechno, co máš, po tom, cos mě stál.\r\n\r\nDo té doby.“
“Following this trail will lead you off a cliff, blasphemer.\r\n\r\nTurn back now.”\r\n\r\nI revisited the cult site, and found a note that seemed to be warning to me. I’m becoming more convinced that this cult really exists, and is still out there. But for now, the trail has gone cold. All I can do is wait.	„Sledování této stopy tě zavede z útesu, rouhači.\r\n\r\nVrať se hned.“\r\n\r\nZnovu jsem navštívil kultovní místo a našel lístek, který vypadal jako varování pro mě. Jsem čím dál přesvědčenější, že ten kult opravdu existuje a pořád je tam venku. Ale prozatím stopa vychladla. Mohu jen čekat.
“Good King Roan”... prosperity for the isles… but misery for anyone caught in his paranoia later.	„Dobrý král Roan“… rozkvět pro ostrovy… ale bída pro každého, kdo se později dostal do jeho stihomamu.
“I know why they’re doing this. They’re punishing me to punish that deserting traitor. He abandoned me completely when I needed him most, after all we’ve been through… But I refuse to give up any information on his whereabouts. If I am to die, I will die without blood on my hands.”	„Vím, proč to dělají. Trestají mě, aby potrestali toho zběhlého zrádce. Úplně mě opustil, když jsem ho nejvíc potřebovala, po všem, čím jsme si prošli… Ale odmítám vydat cokoli o tom, kde je. Mám-li zemřít, zemřu bez krve na rukou.“
“Thanks for the rawhides, darling. I’m sorry there won’t be any compensation for you, and you probably already know why.\r\n\r\nI hope your ego isn’t too bruised. And if it is, well, catch me if you can.\r\n\r\nTa-ta.”	„Díky za surové kůže, drahoušku. Je mi líto, že pro tebe žádná odměna nebude, a nejspíš už víš proč.\r\n\r\nDoufám, že tvé ego není příliš pošramocené. A jestli je, nu, chyť mě, jestli dokážeš.\r\n\r\nPa-pa.“
“The Book of the Overseer\r\n\r\nKrhil Masa Na Trighso Kra Blh A Rshiani…\r\n\r\nThe language is completely indecipherable.”	„Kniha Dohlížitele\r\n\r\nKrhil Masa Na Trighso Kra Blh A Rshiani…\r\n\r\nJazyk je naprosto nerozluštitelný.“
“To my dear wife and daughter - I want to apologize, the Brigands didn't give me a choice. I need to give them this grain or we will not be able to leave this cursed land. I hope we’ll get the gold we need to travel to a better place.\r\n\r\nI love you.”	„Mé drahé ženě a dceři – chci se omluvit, Brigands mi nedali na výběr. Musím jim dát to obilí, jinak nebudeme moci opustit tuhle prokletou zemi. Doufám, že získáme zlato potřebné k cestě na lepší místo.\r\n\r\nMiluji vás.“
• Autonomous\r\n• Patrols the area around the settlement\r\n• Reduces the chance for raiders to attack your settlement	• Samostatný\r\n• Hlídkuje v okolí osady\r\n• Snižuje šanci, že nájezdníci napadnou tvou osadu
• Autonomous\r\n• Produces or harvests ordered goods\r\n• Flees when in danger	• Samostatný\r\n• Vyrábí nebo sklízí zadané zboží\r\n• V nebezpečí utíká
• Follows player\r\n• Can be commanded\r\n• Protects player when in danger	• Následuje hráče\r\n• Lze mu velet\r\n• V nebezpečí chrání hráče
