100 Coins. I don’t care where the money comes from, but I’m not returning empty-handed.	100 mincí. Je mi jedno, odkud peníze jsou, ale s prázdnýma rukama se nevrátím.
Clawfin trophy provides renown for placing in your settlement	Trofej z klepetoploutvce přináší věhlas, když ji umístíš v osadě
Clawfin trophy provides renown for placing in your settlement.	Trofej z klepetoploutvce přináší věhlas, když ji umístíš v osadě.
Clear out the camp and free the prisoner once all bandits are dead or the camp flag has been claimed.	Vyčisti tábor a osvoboď vězně, až budou všichni bandité mrtví nebo bude zabrána táborová vlajka.
Clear the Swamp Bandit's Camp and report back to the Warriors Guild	Vyčisti tábor bažinných banditů a podej hlášení Cechu válečníků
Come to share a drink or just stare like a lost pup? Spit it out before my mug goes dry.	Přišel jsi se napít, nebo jen zírat jako zatoulané štěně? Vyklop to, než mi vyschne korbel.
Companion will break equipment below this durability while stocking up	Společník při doplňování zásob rozebere výbavu s odolností pod touto hranicí
Contraption opened the entry to the hideout. I hope that the alchemist will be willing to cooperate with the Cassians.	Zařízení otevřelo vchod do úkrytu. Doufám, že alchymista bude ochotný spolupracovat s Cassiany.
Cotton fabric used to make armor, clothing, and other soft but durable fibers. Crafted by skilled artisans.	Bavlněná látka používaná na zbroj, oděvy a jiné měkké, ale odolné tkaniny. Vyrábějí ji zkušení řemeslníci.
Cragkeep’s notice board now bears the same message. The Falsgar won’t ignore this.	Vývěska v Cragkeepu teď nese stejnou zprávu. Falsgar to nepřehlédne.
Crasmere was established just five years ago, and thus has no history. But we wish them all the best in their future endeavors.	Crasmere bylo založeno teprve před pěti lety, a tak nemá žádné dějiny. Ale přejeme jim do budoucna vše nejlepší.
Create an outpost first. This can be done by assigning a building.	Nejdřív vytvoř výspu. To lze udělat přiřazením budovy.
Creates a sacred spot for respects, fostering unity and deepening village trust.	Vytváří posvátné místo k uctění, podporuje jednotu a prohlubuje důvěru ve vesnici.
Cressida went on and on about how the river is dry because of the river spirits being upset.	Cressida pořád dokola vykládala, že řeka vyschla, protože jsou říční duchové rozzlobení.
Cyrus Sherwin asked me to check on the missing smuggling crew.	Cyrus Sherwin mě požádal, abych se podíval po zmizelé pašerácké partě.
